list_name,name,label,governorate
type_markets,governorate_capital_market,Governorate Capital Market,
type_markets,district_level_market,District Level Market,
type_markets,other,Other,
type_markets,do_not_know,Do Not Know,
,,,
type_area,urban,Urban,
type_area,rural,Rural,
,,,
market_frequency,daily,Daily,
market_frequency,weekly,Weekly,
market_frequency,monthly,Monthly,
,,,
difficulty_IOMDRC,no,No,
difficulty_IOMDRC,road,Road conditions connectiong to the market,
difficulty_IOMDRC,security,Current security situation,
difficulty_IOMDRC,supplies,Lack of supplies ,
difficulty_IOMDRC,capital,Lack of capital,
difficulty_IOMDRC,suppliers ,Big suppliers hoarding supplies waiting for higher prices,
difficulty_IOMDRC,other,Other,
difficulty_IOMDRC,do_not_know,Do not know,
,,,
stocking_IOMDRC,no,No,
stocking_IOMDRC,price,Rise in prices for basic goods,
stocking_IOMDRC,capital,Lack of credit/capital,
stocking_IOMDRC,support,Lack of supporting financial institutaions,
stocking_IOMDRC,suppliers ,Lack of suppliers,
stocking_IOMDRC,security,Security reasons,
stocking_IOMDRC,suppliers ,Big suppliers hoarding supplies waiting for higher prices,
stocking_IOMDRC,other,Other,
stocking_IOMDRC,do_not_know,Do not know,
,,,
market_IOM_DRC,local,Local,
market_IOM_DRC,district ,District ,
market_IOM_DRC,urban_center,Urban center,
,,,
market_size,small,Small (1 to 5 markets),
market_size,medium,Medium (5 to 10 markets),
market_size,large,Large (more than 10 markets),
,,,
goods_source,local,Local market suppliers,
goods_source,district,District market suppliers,
goods_source,urban_supplier,Urban market suppliers,
goods_source,other,Other,
,,,
time,less_week,Less than one week ,
time,3weeks,1-3 weeks ,
time,4weeks,3-4 weeks,
time,month,More than a month ,
,,,
change,increased,Increased,
change,decreased,Decreased,
change,same,Same,
,,,
seller_type,wholesealer,Wholesealer,
seller_type,retail,Retail,
,,,
yes_no,yes,Yes,
yes_no,no,No,
,,,
type_source,local,Local,
type_source,regional,Regional,
type_source,imported_foregin,Imported/Foregin,
type_source,do_not_know,Do not know,
,,,
men_restrictions,transportation,Transportation,
men_restrictions,work,Work,
men_restrictions,distance,Distance,
men_restrictions,prices,Prices,
men_restrictions,security,Security,
men_restrictions,none,None,
,,,
women_restrictions,transportation,Transportation,
women_restrictions,work,Work,
women_restrictions,distance,Distance,
women_restrictions,prices,Prices,
women_restrictions,cultural,Cultural boundaries ,
women_restrictions,security,Security,
women_restrictions,none,None,
,,,
supplier,wholesaler,Wholesaler,
supplier,vendor,Vendor,
supplier,other,Other,
supplier,do_not_know,Do Not Know,
,,,
supplier_type,wholesaler,Wholesaler,
supplier_type,vendor,Vendor,
supplier_type,other,Other,
,,,
how_often,always,Always,
how_often,often,Often,
how_often,sometimes,Sometimes,
how_often,rarely,Rarely,
how_often,never,Never,
,,,
cash_payment,most,Most of them ,
cash_payment,some,Some of  them ,
cash_payment,few,Only few costumers ,
cash_payment,none,None of them,
,,,
visit,most,Most of them ,
visit,not_many,Not many ,
visit,about_half,About half,
,,,
challenges,price_inflation,Price Inflation,
challenges,liquidity_shortage,Liquidity Shortage,
challenges,shortage_of_demand,Shortage of Demand,
challenges,insecurity_and_instability,Insecurity and Instability,
challenges,supply_shortage,Supply Shortage,
challenges,government_regulations,Government Regulations,
challenges,transportation_issues,Transportation Issues,
challenges,other_see_next_question,Other (see next question),
challenges,do_not_know,Do Not Know,
challenges,no_constraints,No Constraints,
challenges,vendor_did_not_answer,Vendor Did Not Answer,
,,,
governorate2,ye12,Abyan,
governorate2,ye24,Aden,
governorate2,ye14,Al Bayda,
governorate2,ye30,Al Dhale'e,
governorate2,ye18,Al Hudaydah,
governorate2,ye16,Al Jawf,
governorate2,ye28,Al Maharah,
governorate2,ye27,Al Mahwit,
governorate2,ye13,Amanat Al Asimah,
governorate2,ye29,Amran,
governorate2,ye20,Dhamar,
governorate2,ye19,Hadramaut,
governorate2,ye17,Hajjah,
governorate2,ye11,Ibb,
governorate2,ye25,Lahj,
governorate2,ye26,Marib,
governorate2,ye31,Raymah,
governorate2,ye22,Sa'ada,
governorate2,ye23,Sana'a,
governorate2,ye21,Shabwah,
governorate2,ye32,Socotra,
governorate2,ye15,Taizz,
governorate2,vendor_did_not_answer,Vendor Did Not Answer,
governorate2,do_not_know,Do Not Know,
,,,
owner,private,Private,
owner,public,Public,
owner,do_not_know,Do Not Know,
,,,
type_water,water_spring,Water Spring,
type_water,treatment_station,Treatment Station,
type_water,pumping_station_or_borehole,Pumping Station or Borehole,
type_water,other,Other,
,,,
gender,male,Male,
gender,female,Female,
,,,
yes_no2,yes,Yes,
yes_no2,no,No,
yes_no2,do_not_know,Do Not Know,
,,,
cash,cash,Cash,
cash,mobile_money,Mobile money,
cash,credit_debit_card,Credit debit,
cash,prepaid_cards,Prepaid cards,
cash,credit,Credit,
cash,vouchers,Vouchers,
cash,bartering,Bartering,
cash,other,Other,
cash,do_not_know,Do Not Know,
,,,
type_bean,dried,Dried,
type_bean,canned,Canned,
,,,
organisation_name,acted,ACTED,
organisation_name,cyf,Creative Youth Forum (CYF),
organisation_name,hi,Handicap International (HI),
organisation_name,nfdhr,National Foundation for Development and Humanitarian Reponse (NFDHR),
organisation_name,nfhd,National Forum for Human Development (NFHD),
organisation_name,care,CARE,
organisation_name,nrc,Norwegian Refugee Council (NRC),
organisation_name,ocfd,Old City Foundation for Development (OCFD),
organisation_name,iom,International Organization for Migration (IOM),
organisation_name,oxfam,OXFAM,
organisation_name,roc,Raising Organisation for Children Rights (ROC),
organisation_name,sci,Save the Children (SCI),
organisation_name,sdf,Sustainable Development Foundation (SDF),
organisation_name,ydrd,Youth Determination for Relief and Development (YDRD),
organisation_name,yfca,Yemen Family Care Association (YFCA),
organisation_name,ysd,Yemen Shore Development Organisation (YSD),
organisation_name,roc,Rising Organization for Children Rights (ROC),
organisation_name,b4d,Brains 4 Developmet (B4D),
organisation_name,si,Solidarites International (SI),
organisation_name,tyf,Tamdeem Youth Foundation (TYF),
organisation_name,drc,Danish Refugee Council (DRC),
organisation_name,adra,Adventist Development and Relief Agency (ADRA),
organisation_name,soul,Soul Yemen,
organisation_name,other,Other,
,,,
supply_issues,dmg_infra_market,Damaged infrastructure in the market place,
supply_issues,dmg_infra_sorrounding,Damaged infrastructure in the surrounding area,
supply_issues,dmg_storage,Destruction/damage to storage capacity,
supply_issues,move_restriction,"Movement restrictions (check points, curfews, roadblocks, etc)",
supply_issues,other,Other (please specify),
supply_issues,did_not_answer,Vendor did not answer,
,,,
dmg_infra,road,Road infrastructure,
dmg_infra,electrical,Electrical infrastructure,
dmg_infra,water,Water infrastructure,
dmg_infra,communication,Communication infrastructure,
