type,name,label,required,appearance,$given_name,relevant,choice_filter,constraint_message,constraint_message::English,constraint,calculation
start,start,start,,,,,,,,,
end,end,end,,,,,,,,,
today,today,today,,,,,,,,,
deviceid,deviceid,deviceid,,,,,,,,,
begin_group,info,Core information,,,,,,,,,
date,all_date_survey,Date of Survey (Day/Month/Year),TRUE,,,,,,,,
text,all_enumerator_id,Enumerator (1st Name only),TRUE,,,,,,,,
select_one organisation_name,all_select_one_organisation_name,Name of Organisation,TRUE,,select_one organisation_name,,,,,,
text,all_org_name_other,"If other, please specify",TRUE,,,"selected(${select_one_organisation_name},'other')",,,,,
select_one governorate,all_governorate_id,In which governorate is the market located?,TRUE,,,,,,,,
select_one district,all_district_id,In which district is the market located?,TRUE,,,,governorate=${governorate_ID},,,,
text,all_market_name,Name of market:,TRUE,,,,,,,,
text,drc_market_location,Name of area/town/location:,TRUE,,,"selected(${select_one_organisation_name},'DRC') or selected(${select_one_organisation_name},'IOM')",,,,,
select_one type_area,all_type_area,Urban or Rural area:,TRUE,,,,,,,,
select_one seller_type,nrc_seller_type,What is the type of the seller ,,,,"selected(${select_one_organisation_name},'NRC')",,,,,
end_group,info,,,,,,,,,,
begin_group,drc_iom,,,,,"selected(${select_one_organisation_name},'DRC') or selected(${select_one_organisation_name},'IOM')",,,,,
text,pass_drc_iom,Please Enter the Password:,TRUE,,,"selected(${select_one_organisation_name},'IOM') or selected(${select_one_organisation_name},'DRC')",,,,,
note,password_incorrect,Password incorrect,TRUE,,,"${pass_DRC_IOM} !=""DRC_IOMtest""",,,,"not(.=${pass_DRC_IOM}=""DRC_IOMtest"")",
end_group,drc_iom,,,,,,,,,,
begin_group,questionnaire_information_drc_iom,Questionnaire information,TRUE,,,"${pass_DRC_IOM}=""DRC_IOMtest""",,,,,
integer,drc_q_no,Questionnaire Number,TRUE,,,,,,,,
integer,drc_q_no1,Form number by the team,TRUE,,,,,,,,
integer,drc_q_no2,Form number by the M&E team,TRUE,,,,,,,,
end_group,questionnaire_information_drc_iom,,,,,,,,,,
begin_group,interviewee_info,Interviewee information,TRUE,,,"${pass_DRC_IOM}=""DRC_IOMtest""",,,,,
text,drc_name,Name,TRUE,,,,,,,,
text,drc_position,Position of the interviewed person ,TRUE,,,,,,,,
text,drc_phone_number ,Phone number ,TRUE,,,,,,,"regex(.,'[0-9]{14}') and . > 00967000000000  and . < 00967999999999",
text,drc_adress,Business adress,TRUE,,,,,,,,
integer,drc_age,Age,,,,,,,,.< 100,
select_one gender,drc_gender,Gender,,,,,,,,,
end_group,interviewee_info,,,,,,,,,,
begin_group,market_information,Market information,TRUE,,,"${pass_DRC_IOM}=""DRC_IOMtest""",,,,,
select_one market_IOM_DRC,drc_market_type,what is the type of the market,TRUE,,,,,,,,
select_one market_frequency,drc_market_frequency,what is the market frequency,TRUE,,,,,,,,
select_one market_size,drc_market_size,what is the size of market ,TRUE,,,,,,,,
text,drc_name,Name of shop,TRUE,,,,,,,,
text,drc_business_type,Business type:,TRUE,,,,,,,,
select_multiple difficulty_IOMDRC,drc_difficulty,Are there any difficulties for goods to enter the market? ,TRUE,,,,,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
select_multiple stocking_IOMDRC,drc_difficulty1,Are there any difficulties to restocking the store with goods?,TRUE,,,,,"Cannot select ""Do Not Know"" and additional options - Invalid Response",,"not(selected(.,'Do_not_know') and count-selected(.)>1)",
select_one time,drc_stock,How long does it usually take you to restock with basic commondities,,,,,,,,,
select_one time,drc_demand,"If demand for basic commodities were to increase, how ong will it take you to restock to meet increased demands? ",,,,,,,,,
select_one time,drc_road_block,If your normal supply routes stopped. For how long would your storage capacity be able to keep your store functioning? ,,,,,,,,,
text,drc_market_domination,Is the market dominatd by one main vendor or multiple vendors provide the same services?,,,,,,,,,
select_one goods_source,drc_goods_source,What is the main source of goods for the market? ,,,,,,,,,
text,drc_,If Urban market suppliers please specify,,,,"selected(${goods_source},'urban_supplier')",,,,,
text,drc_,"If other, please specify",,,,"selected(${goods_source},'other')",,,,,
select_one change,drc_availability_change,How has the availability of basic commodities changed after the recent conflict? ,,,,,,,,,
select_one change,drc_costumers_change,How has the number of customers changed after the recent conflict? ,,,,,,,,,
begin_group,drc_available,Goods availability,,field-list,,,,,,,
select_one yes_no,drc_a0,,,label,,,,,,,
select_one yes_no,drc_a1,Wheat,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a2,Red Beans,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a3,Cooking Gas,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a4,Clothes,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a5,Soap,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a6,Mattress,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a7,Petrol,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a8,Cooking Oil,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a9,Sugar,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a10,Drinking Water,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a11,Female Hygiene Items,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a12,Blanket,TRUE,list-nolabel,,,,,,,
select_one yes_no,drc_a13,Plastic Sheeting,TRUE,list-nolabel,,,,,,,
text,drc_reason,For items not available please mention the reason,TRUE,,,,,,,,
integer,drc_a14,Wheat Price (before),TRUE,,,"selected(${A1},'yes')",,,,,
integer,drc_a15,Wheat Price (after),TRUE,,,"selected(${A1},'yes')",,,,,
integer,drc_a16,Red Beans Price (before),TRUE,,,"selected(${A2},'yes')",,,,,
integer,drc_a17,Red Beans Price (after),TRUE,,,"selected(${A2},'yes')",,,,,
integer,drc_a18,Cooking Gas Price (before),TRUE,,,"selected(${A3},'yes')",,,,,
integer,drc_a19,Cooking Gas Price (after),TRUE,,,"selected(${A3},'yes')",,,,,
integer,drc_a20,Clothes Price (before),TRUE,,,"selected(${A4},'yes')",,,,,
